DX_CD,DX_HSDW_SHORT_DESC,DX_HSDW_LONG_DESC
008,"infct, intestinal d/t oth organisms",intestinal infections due to other organisms
008.0,enteritis d/t e. coli,intestinal infection due to escherichia coli (e. coli)
008.00,"enteritis, e. coli nos",intestinal infection due to unspecified e. coli
008.01,"enteritis, enteropathogenic e. coli",intestinal infection due to enteropathogenic e. coli
008.02,"enteritis, enterotoxigenic e. coli",intestinal infection due to enterotoxigenic e. coli
008.03,"enteritis, enteroinvasive e. coli",intestinal infection due to enteroinvasive e. coli
008.04,"enteritis, enterohemorrhagic e.coli",intestinal infection due to enterohemorrhagic e. coli
008.09,"enteritis, e. coli nec",intestinal infection due to other intestinal e. coli infections
008.1,"enteritis, arizona group",intestinal infection due to arizona group of paracolon bacilli
008.2,"enteritis, aerobacter aerogenes",intestinal infection due to aerobacter aerogenes
008.3,"enteritis, proteus",intestinal infection due to proteus (mirabilis) (morganii)
008.4,enteritis d/t other bacteria,intestinal infection due to other specified bacteria
008.41,"enteritis, staphylococcus",intestinal infection due to staphylococcus
008.42,"enteritis, pseudomonas",intestinal infection due to pseudomonas
008.43,"enteritis, campylobacter",intestinal infection due to campylobacter
008.44,"enteritis, yersinia enterocolitica",intestinal infection due to yersinia enterocolitica
008.45,"enteritis, clostridium difficile",intestinal infection due to clostridium difficile
008.46,"enteritis, anaerobic  nec",intestinal infection due to other anaerobes
008.47,"enteritis, gram-negative nec",intestinal infection due to other gram-negative bacteria
008.49,"enteritis, bacterial nec","intestinal infection due to other specified bacteria, other"
008.5,"enteritis, bacterial nos","bacterial enteritis, unspecified"
008.6,enteritis d/t specified virus,enteritis due to specified virus
008.61,enteritis d/t rotavirus,enteritis due to rotavirus
008.62,enteritis d/t adenovirus,enteritis due to adenovirus
008.63,enteritis d/t norwalk virus,enteritis due to norwalk virus
008.64,enteritis d/t small round virus nec,enteritis due to other small round viruses [srv]
008.65,enteritis d/t calcivirus,enteritis due to calcivirus
008.66,enteritis d/t astrovirus,enteritis due to astrovirus
008.67,enteritis d/t enterovirus nec,enteritis due to enterovirus not elsewhere classified
008.69,enteritis d/t virus nec,enteritis due to other viruses
008.8,"enteritis, viral nos","intestinal infection due to other organism, not elsewhere classified"
009,"infections, ill-defined intestinal",ill-defined intestinal infections
009.0,"enteritis, infectious nos","infectious colitis, enteritis, and gastroenteritis"
009.1,enteritis presumed infct origin,"colitis, enteritis, and gastroenteritis of presumed infectious origin"
009.2,"diarrhea, infectious",infectious diarrhea
009.3,"diarrhea, presumed infct origin",diarrhea of presumed infectious origin
010,"tuberculous, primary infection",primary tuberculous infection
010.0,"tuberculous, primary complex",primary tuberculous complex
010.00,"tb, primary complex, unspecified",primary tuberculous complex; unspecified examination
010.01,"tb, primary complex, no lab exam",primary tuberculous complex; bacteriological or histological examination not done
010.02,"tb, prim complex, lab exam unknown",primary tuberculous complex; bacteriological or histological examination results unknown (at present)
010.03,"tb, primary complex, microscopy dx",primary tuberculous complex; tubercle bacilli found (in sputum) by microscopy
010.04,"tb, primary complex, culture dx","primary tuberculous complex; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
010.05,"tb, primary complex, histologic dx","primary tuberculous complex; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
010.06,"tb, primary complex, other test","primary tuberculous complex; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
010.1,tb pleurisy in prim progress tb,tuberculous pleurisy in primary progressive tuberculosis
010.10,"tb pleurisy, primary, unspecified",tuberculous pleurisy in primary progressive tuberculosis; unspecified examination
010.11,"tb pleurisy, primary, no lab exam",tuberculous pleurisy in primary progressive tuberculosis; bacteriological or histological examination not done
010.12,"tb pleurisy, prim, lab exam unknown",tuberculous pleurisy in primary progressive tuberculosis; bacteriological or histological examination results unknown (at present)
010.13,"tb pleurisy, primary, microscopy dx",tuberculous pleurisy in primary progressive tuberculosis; tubercle bacilli found (in sputum) by microscopy
010.14,"tb pleurisy, primary, culture dx","tuberculous pleurisy in primary progressive tuberculosis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
010.15,"tb pleurisy, primary, histologic dx","tuberculous pleurisy in primary progressive tuberculosis; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
010.16,"tb pleurisy, primary, other cnfirm","tuberculous pleurisy in primary progressive tuberculosis; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
010.8,"tuberculosis, oth prim progressive",other primary progressive tuberculosis
010.80,"tb, primary nec, unspecified",other primary progressive tuberculosis; unspecified examination
010.81,"tb, primary nec, no lab exam",other primary progressive tuberculosis; bacteriological or histological examination not done
010.82,"tb, primary nec, lab exam unknown",other primary progressive tuberculosis; bacteriological or histological examination results unknown (at present)
010.83,"tb, primary nec, microscopy dx",other primary progressive tuberculosis; tubercle bacilli found (in sputum) by microscopy
010.84,"tb, primary nec, culture dx","other primary progressive tuberculosis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
010.85,"tb, primary nec, histologic dx","other primary progressive tuberculosis; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
010.86,"tb, primary nec, other confirmation","other primary progressive tuberculosis; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
010.9,"tuberculous, unspec primary infct",primary tuberculous infection; unspecified type
010.90,"tb, primary nos, unspecified","primary tuberculous infection; unspecified type, unspecified examination"
010.91,"tb, primary nos, no lab exam","primary tuberculous infection; unspecified type, bacteriological or histological examination not done"
010.92,"tb, primary nos, lab exam unknown","primary tuberculous infection; unspecified type, bacteriological or histological examination results unknown (at present)"
010.93,"tb, primary nos, microscopy dx","primary tuberculous infection; unspecified type, tubercle bacilli found (in sputum) by microscopy"
010.94,"tb, primary nos, culture dx","primary tuberculous infection; unspecified type, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
010.95,"tb, primary nos, histologic dx","primary tuberculous infection; unspecified type, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
010.96,"tb, primary tb, other confirmation","primary tuberculous infection; unspecified type, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011,"tuberculosis, pulmonary",pulmonary tuberculosis
011.0,"tuberculosis of lung, infiltrative",tuberculosis of lung; infiltrative
011.00,"tb lung infiltrative, unspecified","tuberculosis of lung; infiltrative, unspecified examination"
011.01,"tb lung infiltrative, no lab exam","tuberculosis of lung; infiltrative, bacteriological or histological examination not done"
011.02,"tb lung infltr, lab exam unknown","tuberculosis of lung; infiltrative, bacteriological or histological examination results unknown (at present)"
011.03,"tb lung infiltrative, microscopy dx","tuberculosis of lung; infiltrative, tubercle bacilli found (in sputum) by microscopy"
011.04,"tb lung infiltrative, culture dx","tuberculosis of lung; infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.05,"tb lung infiltrative, histologic dx","tuberculosis of lung; infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.06,"tb lung infiltrative, other cnfirm","tuberculosis of lung; infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011.1,"tuberculosis of lung, nodular",tuberculosis of lung; nodular
011.10,"tb lung nodular, unspecified","tuberculosis of lung; nodular, unspecified examination"
011.11,"tb lung nodular, no lab exam","tuberculosis of lung; nodular, bacteriological or histological examination not done"
011.12,"tb lung nodular, lab exam unknown","tuberculosis of lung; nodular, bacteriological or histological examination results unknown (at present)"
011.13,"tb lung nodular, microscopy dx","tuberculosis of lung; nodular, tubercle bacilli found (in sputum) by microscopy"
011.14,"tb lung nodular, culture dx","tuberculosis of lung; nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.15,"tb lung nodular, histologic dx","tuberculosis of lung; nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.16,"tb lung nodular, other confirmation","tuberculosis of lung; nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011.2,tuberculosis of lung w/cavitation,tuberculosis of lung with cavitation
011.20,"tb lung w/cavitation, unspecified",tuberculosis of lung with cavitation; unspecified examination
011.21,"tb lung w/cavitation, no lab exam",tuberculosis of lung with cavitation; bacteriological or histological examination not done
011.22,"tb lung w/cvitatn, lab exam unkwn",tuberculosis of lung with cavitation; bacteriological or histological examination results unknown (at present)
011.23,"tb lung w/cavitation, microscopy dx",tuberculosis of lung with cavitation; tubercle bacilli found (in sputum) by microscopy
011.24,"tb lung w/cavitation, culture dx","tuberculosis of lung with cavitation; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.25,"tb lung w/cavitation, histologic dx","tuberculosis of lung with cavitation; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.26,"tb lung w/cavitation, other cnfirm","tuberculosis of lung with cavitation; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011.3,"tuberculosis, bronchus",tuberculosis of bronchus
011.30,"tb bronchus, unspecified",tuberculosis of bronchus; unspecified examination
011.31,"tb bronchus, no lab exam",tuberculosis of bronchus; bacteriological or histological examination not done
011.32,"tb bronchus, lab exam unknown",tuberculosis of bronchus; bacteriological or histological examination results unknown (at present)
011.33,"tb bronchus, microscopy dx",tuberculosis of bronchus; tubercle bacilli found (in sputum) by microscopy
011.34,"tb bronchus, culture dx","tuberculosis of bronchus; tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
011.35,"tb bronchus, histologic dx","tuberculosis of bronchus; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.36,"tb bronchus, other confirmation","tuberculosis of bronchus; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011.4,tuberculous fibrosis of lung,tuberculous fibrosis of lung
011.40,"tb fibrosis lung, unspecified",tuberculous fibrosis of lung; unspecified examination
011.41,"tb fibrosis lung, no lab exam",tuberculous fibrosis of lung; bacteriological or histological examination not done
011.42,"tb fibrosis lung, lab exam unknown",tuberculous fibrosis of lung; bacteriological or histological examination unknown (at present)
011.43,"tb fibrosis lung, microscopy dx",tuberculous fibrosis of lung; tubercle bacilli found (in sputum) by microscopy
011.44,"tb fibrosis lung, culture dx","tuberculous fibrosis of lung; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.45,"tb  fibrosis lung, histologic dx","tuberculous fibrosis of lung; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.46,"tb fibrosis lung, other cnfirm","tuberculous fibrosis of lung; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011.5,tuberculous bronchiectasis,tuberculous bronchiectasis
011.50,"tb bronchiectasis, unspecified",tuberculous bronchiectasis; unspecified examination
011.51,"tb bronchiectasis, no lab exam",tuberculous bronchiectasis; bacteriological or histological examination not done
011.52,"tb bronchiectasis, lab exam unknown",tuberculous bronchiectasis; bacteriological or histological examination results unknown (at present)
011.53,"tb bronchiectasis, microscopy dx",tuberculous bronchiectasis; tubercle bacilli found (in sputum) by microscopy
011.54,"tb bronchiectasis, culture dx","tuberculous bronchiectasis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.55,"tb bronchiectasis, histologic dx","tuberculous bronchiectasis; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.56,"tb bronchiectasis, other cnfirm","tuberculous bronchiectasis; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011.6,tuberculous pneumonia,tuberculous pneumonia (any form)
011.60,"tb pneumonia, unspecified",tuberculous pneumonia (any form); unspecified examination
011.61,"tb pneumonia, no lab exam",tuberculous pneumonia (any form); bacteriological or histological examination not done
011.62,"tb pneumonia, lab exam unknown",tuberculous pneumonia (any form); bacteriological or histological examination results unknown (at present)
011.63,"tb pneumonia, microscopy dx",tuberculous pneumonia (any form); tubercle bacilli found (in sputum) by microscopy
011.64,"tb pneumonia, culture dx","tuberculous pneumonia (any form); tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.65,"tb pneumonia, histologic dx","tuberculous pneumonia (any form); tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.66,"tb pneumonia, other confirmation","tuberculous pneumonia (any form); tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011.7,tuberculous pneumothorax,tuberculous pneumothorax
011.70,"tb pneumothorax, unspecified",tuberculous pneumothorax; unspecified examination
011.71,"tb pneumothorax, no lab exam",tuberculous pneumothorax; bacteriological or histological examination not done
011.72,"tb pneumothorax, lab exam unknown",tuberculous pneumothorax; bacteriological or histological examination results unknown (at present)
011.73,"tb pneumothorax, microscopy dx",tuberculous pneumothorax; tubercle bacilli found (in sputum) by microscopy
011.74,"tb pneumothorax, culture dx","tuberculous pneumothorax; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.75,"tb pneumothorax, histologic dx","tuberculous pneumothorax; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.76,"tb pneumothorax, other confirmation","tuberculous pneumothorax; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011.8,"tuberculosis, other pulmonary",other specified pulmonary tuberculosis
011.80,"tb pulmonary nec, unspecified",other specified pulmonary tuberculosis; unspecified examination
011.81,"tb pulmonary nec, no lab exam",other specified pulmonary tuberculosis; bacteriological or histological examination not done
011.82,"tb pulmonary nec, lab exam unkown",other specified pulmonary tuberculosis; bacteriological or histological examination results unknown (at present)
011.83,"tb pulmonary nec, microscopy dx",other specified pulmonary tuberculosis; tubercle bacilli found (in sputum) by microscopy
011.84,"tb pulmonary nec, culture dx","other specified pulmonary tuberculosis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.85,"tb pulmonary nec, histologic dx","other specified pulmonary tuberculosis; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.86,"tb pulmonary nec, other cnfirm","other specified pulmonary tuberculosis; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
011.9,"tuberculosis, unspecified pulmonary",unspecified pulmonary tuberculosis
011.90,"tb pulmonary nos, unspecified",unspecified pulmonary tuberculosis; unspecified examination
011.91,"tb pulmonary nos, no lab exam",unspecified pulmonary tuberculosis; bacteriological or histological examination not done
011.92,"tb pulmonary nos, lab exam unknown",unspecified pulmonary tuberculosis; bacteriological or histological examination results unknown (at present)
011.93,"tb pulmonary nos, microscopy dx",unspecified pulmonary tuberculosis; tubercle bacilli found (in sputum) by microscopy
011.94,"tb pulmonary nos, culture dx","unspecified pulmonary tuberculosis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
011.95,"tb pulmonary nos, histologic dx","unspecified pulmonary tuberculosis; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
011.96,"tb pulmonary nos, other cnfirm","unspecified pulmonary tuberculosis; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
012,"tuberculosis, other respiratory",other respiratory tuberculosis
012.0,tuberculous pleurisy,tuberculous pleurisy
012.00,"tb pleurisy, unspecified",tuberculous pleurisy; unspecified examination
012.01,"tb pleurisy, no lab exam",tuberculous pleurisy; bacteriological or histological examination not done
012.02,"tb pleurisy, lab exam unknown",tuberculous pleurisy; bacteriological or histological examination results unknown (at present)
012.03,"tb pleurisy, microscopy dx",tuberculous pleurisy; tubercle bacilli found (in sputum) by microscopy
012.04,"tb pleurisy, culture dx","tuberculous pleurisy; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
012.05,"tb pleurisy, histologic dx","tuberculous pleurisy; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
012.06,"tb pleurisy, other confirmation","tuberculous pleurisy; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
012.1,"tuberculosis, thoracic lymph nodes",tuberculosis of intrathoracic lymph nodes
012.10,"tb thoracic nodes, unspecified",tuberculosis of intrathoracic lymph nodes; unspecified examination
012.11,"tb thoracic nodes, no lab exam",tuberculosis of intrathoracic lymph nodes; bacteriological or histological examination not done
012.12,"tb thoracic nodes, lab exam unknown",tuberculosis of intrathoracic lymph nodes; bacteriological or histological examination results unknown (at present)
012.13,"tb thoracic nodes, microscopy dx",tuberculosis of intrathoracic lymph nodes; tubercle bacilli found (in sputum) by microscopy
012.14,"tb thoracic nodes, culture dx","tuberculosis of intrathoracic lymph nodes; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
012.15,"tb thoracic nodes, histologic dx","tuberculosis of intrathoracic lymph nodes; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
012.16,"tb thoracic nodes, other cnfirm","tuberculosis of intrathoracic lymph nodes; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
012.2,"tuberculosis, isolated trach/bronch",isolated tracheal or bronchial tuberculosis
012.20,"tb isolated tracheal, unspecified",isolated tracheal or bronchial tuberculosis; unspecified examination
012.21,"tb isolated tracheal, no lab exam",isolated tracheal or bronchial tuberculosis; bacteriological or histological examination not done
012.22,"tb isolated trach, lab exam unkown",isolated tracheal or bronchial tuberculosis; bacteriological or histological examination results unknown (at present)
012.23,"tb isolated tracheal, microscopy dx",isolated tracheal or bronchial tuberculosis; tubercle bacilli found (in sputum) by microscopy
012.24,"tb isolated tracheal, culture dx","isolated tracheal or bronchial tuberculosis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
012.25,"tb isolated tracheal, histologic dx","isolated tracheal or bronchial tuberculosis; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
012.26,"tb isolated tracheal, other cnfirm","isolated tracheal or bronchial tuberculosis; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
012.3,tuberculous laryngitis,tuberculous laryngitis
012.30,"tb laryngitis, unspecified",tuberculous laryngitis; unspecified examination
012.31,"tb laryngitis, no lab exam",tuberculous laryngitis; bacteriological or histological examination not done
012.32,"tb laryngitis, lab exam unknown",tuberculous laryngitis; bacteriological or histological examination results unknown (at present)
012.33,"tb laryngitis, microscopy dx",tuberculous laryngitis; tubercle bacilli found (in sputum) by microscopy
012.34,"tb laryngitis, culture dx","tuberculous laryngitis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
012.35,"tb laryngitis, histologic dx","tuberculous laryngitis; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
012.36,"tb laryngitis, other confirmation","tuberculous laryngitis; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
012.8,"tuberculosis, other respiratory",other specified respiratory tuberculosis
012.80,"tb respiratory nec, unspecified",other specified respiratory tuberculosis; unspecified examination
012.81,"tb respiratory nec, no lab exam",other specified respiratory tuberculosis; bacteriological or histological examination not done
012.82,"tb respiratory nec, lab exam unkwn",other specified respiratory tuberculosis; bacteriological or histological examination results unknown (at present)
012.83,"tb respiratory nec, microscopy dx",other specified respiratory tuberculosis; tubercle bacilli found (in sputum) by microscopy
012.84,"tb respiratory nec, culture dx","other specified respiratory tuberculosis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
012.85,"tb respiratory nec, histologic dx","other specified respiratory tuberculosis; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
012.86,"tb respiratory nec, other cnfirm","other specified respiratory tuberculosis; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
013,tuberculosis of meninges/cns,tuberculosis of meninges and central nervous system
013.0,tuberculous meningitis,tuberculous meningitis
013.00,"tb meningitis, unspecified",tuberculous meningitis; unspecified examination
013.01,"tb meningitis, no lab exam",tuberculous meningitis; bacteriological or histological examination not done
013.02,"tb meningitis, lab exam unknown",tuberculous meningitis; bacteriological or histological examination results unknown (at present)
013.03,"tb meningitis, microscopy dx",tuberculous meningitis; tubercle bacilli found (in sputum) by microscopy
013.04,"tb meningitis, culture dx","tuberculous meningitis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
013.05,"tb meningitis, histologic dx","tuberculous meningitis; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
013.06,"tb meningitis, other confirmation","tuberculous meningitis; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
013.1,tuberculoma of meninges,tuberculoma of meninges
013.10,"tuberculoma meninges, unspecified",tuberculoma of meninges; unspecified examination
013.11,"tuberculoma meninges, no lab exam",tuberculoma of meninges; bacteriological or histological examination not done
013.12,"tbrclma meninges, lab exam unknown",tuberculoma of meninges; bacteriological or histological examination results unknown (at present)
013.13,"tuberculoma meninges, microscopy dx",tuberculoma of meninges; tubercle bacilli found (in sputum) by microscopy
013.14,"tuberculoma meninges, culture dx","tuberculoma of meninges; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
013.15,"tuberculoma meninges, histologic dx","tuberculoma of meninges; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
013.16,"tuberculoma meninges, other cnfirm","tuberculoma of meninges; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
013.2,tuberculoma of brain,tuberculoma of brain
013.20,"tuberculoma brain, unspecified",tuberculoma of brain; unspecified examination
013.21,"tuberculoma brain, no lab exam",tuberculoma of brain; bacteriological or histological examination not done
013.22,"tuberculoma brain, lab exam unknown",tuberculoma of brain; bacteriological or histological examination results unknown (at present)
013.23,"tuberculoma brain, microscopy dx",tuberculoma of brain; tubercle bacilli found (in sputum) by microscopy
013.24,"tuberculoma brain, culture dx","tuberculoma of brain; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
013.25,"tuberculoma brain, histologic dx","tuberculoma of brain; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
013.26,"tuberculoma brain, other cnfirm","tuberculoma of brain; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
013.3,tuberculous abscess of brain,tuberculous abscess of brain
013.30,"tb abscess, brain, unspecified",tuberculous abscess of brain; unspecified examination
013.31,"tb abscess, brain, no lab exam",tuberculous abscess of brain; bacteriological or histological examination not done
013.32,"tb abscess, brain, lab exam unknown",tuberculous abscess of brain; bacteriological or histological examination results unknown (at present)
013.33,"tb abscess, brain, microscopy dx",tuberculous abscess of brain; tubercle bacilli found (in sputum) by microscopy
013.34,"tb abscess, brain, culture dx","tuberculous abscess of brain; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
013.35,"tb abscess, brain, histologic dx","tuberculous abscess of brain; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
013.36,"tb abscess, brain, other cnfirm","tuberculous abscess of brain; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
013.4,tuberculoma of spinal cord,tuberculoma of spinal cord
013.40,"tuberculoma spinal cord, unspc",tuberculoma of spinal cord; unspecified examination
013.41,"tuberculoma spinal cd, no lab exam",tuberculoma of spinal cord; bacteriological or histological examination not done
013.42,"tbrclma spinal cord, lab exam unkwn",tuberculoma of spinal cord; bacteriological or histological examination results unknown (at present)
013.43,"tbrclma spinal cord, microscopy dx",tuberculoma of spinal cord; tubercle bacilli found (in sputum) by microscopy
013.44,"tuberculoma spinal cord, culture dx","tuberculoma of spinal cord; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
013.45,"tbrclma spinal cord, histologic dx","tuberculoma of spinal cord; tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
013.46,"tuberculoma spinal cord, oth cnfirm","tuberculoma of spinal cord; tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)"
013.5,tuberculous abscess of spinal cord,tuberculous abscess of spinal cord
013.50,"tb abscess, spinal cord, unspc",tuberculous abscess of spinal cord; unspecified examination
013.51,"tb abscess, spinal cd, no lab exam",tuberculous abscess of spinal cord; bacteriological or histological examination not done
013.52,"tb abscess, spinal cord, exam unkwn",tuberculous abscess of spinal cord; bacteriological or histological examination results unknown (at present)
013.53,"tb abscess, spinal cd, micspy dx",tuberculous abscess of spinal cord; tubercle bacilli found (in sputum) by microscopy
