PX_CD,PX_HSDW_SHORT_DESC,PX_HSDW_LONG_DESC
00.41,"procedure on vessels, 2","procedures and interventions, not elsewhere classified; adjunct vascular system procedures; procedure on two vessels"
00.42,"procedure on vessels, 3","procedures and interventions, not elsewhere classified; adjunct vascular system procedures; procedure on three vessels"
00.43,"procedure on vessels, 4+","procedures and interventions, not elsewhere classified; adjunct vascular system procedures; procedure on four or more vessels"
00.44,"procedure on vessels, bifurcation","procedures and interventions, not elsewhere classified; adjunct vascular system procedures; procedure on vessel bifurcation"
00.45,"insert vascular stent, single","procedures and interventions, not elsewhere classified; adjunct vascular system procedures; insertion of one vascular stent"
00.46,"insert vascular stents, 2","procedures and interventions, not elsewhere classified; adjunct vascular system procedures; insertion of two vascular stents"
00.47,"insert vascular stents, 3","procedures and interventions, not elsewhere classified; adjunct vascular system procedures; insertion of three vascular stents"
00.48,"insert vascular stents, 4+","procedures and interventions, not elsewhere classified; adjunct vascular system procedures; insertion of four or more vascular stents"
00.49,supersaturated oxygen therapy,"procedures and interventions, not elsewhere classified; supersaturated oxygen therapy"
00.5,cardiovascular procedure nec,"procedures and interventions, not elsewhere classified; other cardiovascular procedures"
00.50,implant crt-p w/o defibrillation,"procedures and interventions, not elsewhere classified; other cardiovasular procedures; implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [crt-p]"
00.51,"implant crt-d, total system","procedures and interventions, not elsewhere classified; other cardiovascular procedures; implantation of cardiac resynchronization defibrillator, total system [crt-d]"
00.52,implant/replace transvenous lead,"procedures and interventions, not elsewhere classified; other cardiovascular procedures; implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system"
00.53,implant/repl crt-p pulse gnrtr only,"procedures and interventions, not elsewhere classified; other cardiovascular procedures; implantation or replacement of cardiac resynchronization pacemaker pulse generator only [crt-p]"
00.54,implant/repl crt-d pulse gnrtr only,"procedures and interventions, not elsewhere classifed; other cardiovascular procedures; implantation or replacement of cardiac resynchronization defibrillator pulse generator device only [crt-d]"
00.55,insrt drg-elut peripheral vsl stent,"procedures and interventions, not elsewhere classified; other cardiovascular procedures; insertion of drug-eluting peripheral vessel stent(s)"
00.56,insrt/repl implnt pres sensor,"procedures and interventions, not elsewhere classifed; other cardiovascular procedures; insertion or replacement of implantable pressure sensor (lead) for intracardiac hemodynamic monitoring"
00.57,implant/replace subq device,"procedures and interventions, not elsewhere classified; other cardiovascular procedures; implantation or replacement of subcutaneous device for intracardiac hemodynamic monitoring"
00.58,insert intra aneurysm sac pmd,"procedures and interventions, not elsewhere classified; insertion of intra-aneurysm sac pressure monitoring device (intraoperative)"
00.59,intrav pressr measrmt coro arteries,"procedures and interventions, not elsewhere classified; intravascular pressure measurement of coronary arteries"
00.6,procedures on blood vessels,"procedures and interventions, not elsewhere classified; procedures on blood vessels"
00.61,"angplst/athrctmy, perc, precer vsl","procedures and interventions, not elsewhere classified; procedures on blood vessels; percutaneous angioplasty or atherectomy of precerebral (extracranial) vessel(s)"
00.62,"angplst/athrctmy, perc, intrcrn vsl","procedures and interventions, not elsewhere classified; procedures on blood vessels; percutaneous angioplasty or atherectomy of intracranial vessel(s)"
00.63,"insrt carotid artery stent, perc","procedures and interventions, not elsewhere classified; procedures on blood vessels; percutaneous insertion of carotid artery stent(s)"
00.64,insrt oth precerb artery stnt percu,"procedures and interventions, not elsewhere classified; procedures on blood vessels; percutaneous insertion of other precerebral (extracranial) artery stent(s)"
00.65,insrt intracran vascular stnt percu,"procedures and interventions, not elsewhere classified; procedures on blood vessels; percutaneous insertion of intracranial vascular stent(s)"
00.66,"ptca or coronary atherectomy, percu","procedures and interventions, not elsewhere classified; procedures on blood vessels; percutaneous transluminal coronary angioplasty [ptca] or coronary atherectomy"
00.67,intrav presr mesrmt inthorac arter,"procedures and interventions, not elsewhere classified; intravascular pressure measurement of intrathoracic arteries"
00.68,intrav presr mesrmt periph arteries,"procedures and interventions, not elsewhere classified; intravascular pressure measurement of peripheral arteries"
00.69,intrav presr mesrmt othr spec arter,"procedures and interventions, not elsewhere classified; intravascular pressure measurement, other specified and unspecified vessels"
00.7,other hip procedures,"procedures and interventions, not elsewhere classified; other hip procedures"
00.70,"rev hip repl, acetabular & femoral","procedures and interventions, not elsewhere classified; other hip procedures; revision of hip replacement, both acetabular and femoral components"
00.71,"rev hip repl, acetablur","procedures and interventions, not elsewhere classified; other hip procedures; revision of hip replacement, acetabular component"
00.72,"rev hip repl, femoral","procedures and interventions, not elsewhere classified; other hip procedures; revision of hip replacement, femoral component"
00.73,rev hip repl acetblr liner/fmr head,"procedures and interventions, not elsewhere classified; other hip procedures; revision of hip replacement, acetabular liner and/or femoral head only"
00.74,hip bear surf metal on polyeth,"procedures and interventions, not elsewhere classified; other hip procedures; hip bearing surface, metal on polyethylene"
00.75,"hip bear surf, metal on metal","procedures and interventions, not elsewhere classified; other hip procedures; hip bearing surface, metal-on-metal"
00.76,"hip bear surf, cermc on cermc","procedures and interventions, not elsewhere classified; other hip procedures; hip bearing surface, ceramic-on-ceramic"
00.77,hip bear surf cermc on polyeth,"procedures and interventions, not elsewhere classified; other hip procedures; hip bearing surface, ceramic-on-polyethylene"
00.8,other knee and hip procedures,"procedures and interventions, not elsewhere classified; other knee and hip procedures;"
00.80,"revise knee replacement, total","procedures and interventions, not elsewhere classified; other knee and hip procedures; revision of knee replacement, total (all components)"
00.81,"rev knee repl, tibial component","procedures and interventions, not elsewhere classified; other knee and hip procedures; revision of knee replacement, tibial component"
00.82,"rev knee repl, femoral component","procedures and interventions, not elsewhere classified; other knee and hip procedures; revision of knee replacement, femoral component"
00.83,"rev knee repl, patellar component","procedures and interventions, not elsewhere classified; other knee and hip procedures; revision of knee replacement, patellar component"
00.84,"rev total knee repl, tibial insert","procedures and interventions, not elsewhere classified; other knee and hip procedures; revision of total knee replacement, tibial insert (liner)"
00.85,"resrf hip total, actblm & femr head","procedures and interventions, not elsewhere classified; other knee and hip procedures; resurfacing hip, total, acetabulum and femoral head"
00.86,"resrf hip, partial, femoral head","procedures and interventions, not elsewhere classified; other knee and hip procedures; resurfacing hip, partial, femoral head"
00.87,"resrf hip, partial, acetabulum","procedures and interventions, not elsewhere classified; other knee and hip procedures; resurfacing hip, partial, acetabulum"
00.9,"procedures and interventions, other","procedures and interventions, not elsewhere classified; other procedures and interventions"
00.91,transplant from live related donor,"procedures and interventions, not elsewhere classified; other procedures and interventions; transplant from live related donor"
00.92,trnsplnt from live n-related donor,"procedures and interventions, not elsewhere classified; other procedures and interventions; transplant from live non-related donor"
00.93,transplant from cadaver,"procedures and interventions, not elsewhere classified; other procedures and interventions; transplant from cadaver"
00.94,intraop neurophys monitor,"procedures and interventions, not elsewhere classified; other procedures and interventions; intra-operative neurophysiologic monitoring"
0001F,heart failure composite,"heart failure assessed (includes assessment of all the following components) (cad, hf): blood pressure measured (2000f) level of activity assessed (1003f) clinical symptoms of volume overload (excess) assessed (1004f) weight, recorded (2001f) clinical signs of volume overload (excess) assessed (2002f)"
0001T,"endovsc rpr abdm aort anyrsm, prsth","endovascular repair of infrarenal abdominal aortic aneurysm or dissection, modular bifurcated prosthesis (two docking limbs)"
0002F,"assessment, tobacco use, smoking","tobacco use, smoking, assessed"
0002T,endovsc rpr abdm ao anyrsm,endovascular repair of infrarenal abdominal aortic aneurysm or dissection; aorto-uni-iliac or aorto-unifemoral prosthesis
0003F,"assmnt, tobacco use, non-smoking","tobacco use, non-smoking, assessed"
0003T,cervicography,cervicography
0004F,"counsel, stop tobacco use, intrvn","tobacco use cessation intervention, counseling"
0005F,osteoarthritis composite,"osteoarthritis assessed (oa) includes assessment of all the following components: osteoarthritis symptoms and functional status assessed (1006f) use of anti-inflammatory or over-the-counter (otc) analgesic medications assessed (1007f) initial examination of the involved joint(s) (includes visual inspection, palpation, range of motion) (2004f)"
0005T,"crbrlvsc art stent, percu, initial","transcatheter placement of extracranial cerebrovascular artery stent(s), percutaneous; initial vessel"
0006F,"statin therapy, prescribed","statin therapy, prescribed"
0006T,"crbrlvsc art stent, percu, ea add","transcatheter placement of extracranial cerebrovascular artery stent(s), percutaneous; each additional vessel (list separately in addition to code for primary procedure"
0007F,"beta-blocker therapy, prescribed","beta-blocker therapy, prescribed"
0007T,"crbrlvsc art stent, percu, rad s&i","transcatheter placement of extracranial cerebrovascular artery stent(s), percutaneous, radiological supervision and interpretation, each vessel"
0008F,"ace inhibitor therapy, prescribed","ace inhibitor therapy, prescribed"
0008T,upper gi endoscopy w/suture,"upper gastrointestinal endoscopy including esophagus, stomach, and either the duodenum and/or jejunum as appropriate, with suturing of the esophagogastric junction"
0009F,"assmnt, anginal symp/activity level","anginal symptoms and level of activity, assessed"
0009T,cryoabltn endomtrl w/ultrsnd guide,endometrial cryoablation with ultrasonic guidance
00100,"anesth, salivary gland","anesthesia for procedures on salivary glands, including biopsy"
00102,"anesth, repair of cleft lip",anesthesia for procedures involving plastic repair of cleft lip
00103,"anesth, blepharoplasty","anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)"
00104,"anesth, electroshock",anesthesia for electroconvulsive therapy
0010F,assmnt ang symp/activity lvl w/inst,"anginal symptoms and level of activity, assessed using a standardized instrument (eg, canadian cardiovascular society classification-ccsc-system, seattle angina questionnaire-saq)"
0010T,"tb test, cell mediated","tuberculosis test, cell mediated immunity measurement of gamma interferon antigen response"
0011F,"antiplatelet tx, oral, prescribed","oral antiplatelet therapy; prescribed (eg, aspirin, clopidogrel/ plavix, or combination of aspirin and dipyridamole/aggrenox)"
00120,"anesth, ear surgery","anesthesia for procedures on external, middle, and inner ear including biopsy; not otherwise specified"
00124,"anesth, ear exam","anesthesia for procedures on external, middle, and inner ear including biopsy; otoscopy"
00126,"anesth, tympanotomy","anesthesia for procedures on external, middle, and inner ear including biopsy; tympanotomy"
0012F,cap bacterial assess,community-acquired bacterial pneumonia assessment (includes all of the following components) (cap): co-morbid conditions assessed (1026f) vital signs recorded (2010f) mental status assessed (2014f) hydration status assessed (2018f)
0012T,arthscpy osteochndrl knee autograft,"arthroscopy, knee, surgical, implantation of osteochondral graft(s) for treatment of articular surface defect; autografts"
0013T,arthscpy osteochndrl knee allograft,"arthroscopy, knee, surgical, implantation of osteochondral graft(s) for treatment of articular surface defect; allografts"
00140,"anesth, procedures on eye",anesthesia for procedures on eye; not otherwise specified
00142,"anesth, lens surgery",anesthesia for procedures on eye; lens surgery
00144,"anesth, corneal transplant",anesthesia for procedures on eye; corneal transplant
00145,"anesth, vitreoretinal surg",anesthesia for procedures on eye; vitreoretinal surgery
00147,"anesth, iridectomy",anesthesia for procedures on eye; iridectomy
00148,"anesth, eye exam",anesthesia for procedures on eye; ophthalmoscopy
0014F,comp preop assess cat surg,"comprehensive preoperative assessment performed for cataract surgery with intraocular lens (iol) placement (includes assessment of all of the following components) (ec): dilated fundus evaluation performed within 12 months prior to cataract surgery (2020f) pre-surgical (cataract) axial length, corneal power measurement and method of intraocular lens power calculation documented (must be performed within 12 months prior to surgery) (3073f) preoperative assessment of functional or medical indication(s) for surgery prior to the cataract surgery with intraocular lens placement (must be performed within 12 months prior to cataract surgery) (3325f)"
0014T,"transplant, meniscal, knee","meniscal transplantation, medial or lateral, knee (any method)"
0015F,melan follow-up complete,melanoma follow up completed (includes assessment of all of the following components) (ml): history obtained regarding new or changing moles (1050f) complete physical skin exam performed (2029f) patient counseled to perform a monthly self skin examination (5005f)
00160,"anesth, nose/sinus surgery",anesthesia for procedures on nose and accessory sinuses; not otherwise specified
00162,"anesth, nose/sinus surgery",anesthesia for procedures on nose and accessory sinuses; radical surgery
00164,"anesth, biopsy of nose","anesthesia for procedures on nose and accessory sinuses; biopsy, soft tissue"
0016T,thermotx choroid vasc lesion,"destruction of localized lesion of choroid (eg, choroidal neovascularization), transpupillary thermotherapy"
00170,"anesth, procedure on mouth","anesthesia for intraoral procedures, including biopsy; not otherwise specified"
00172,"anesth, cleft palate repair","anesthesia for intraoral procedures, including biopsy; repair of cleft palate"
00174,"anesth, pharyngeal surgery","anesthesia for intraoral procedures, including biopsy; excision of retropharyngeal tumor"
00176,"anesth, pharyngeal surgery","anesthesia for intraoral procedures, including biopsy; radical surgery"
0017T,photocoagulat macular drusen,"destruction of macular drusen, photocoagulation"
0018T,transcranial magnetic stimul,"delivery of high power, focal magnetic pulses for direct stimulation to cortical neurons"
00190,"anesth, face/skull bone surg",anesthesia for procedures on facial bones or skull; not otherwise specified
00192,"anesth, facial bone surgery",anesthesia for procedures on facial bones or skull; radical surgery (including prognathism)
0019T,"extracorp shock wv tx,ms nos","extracorporeal shock wave involving musculoskeletal system, not otherwise specified, low energy"
0020T,"esw tx, invlv plantar fascia",extracorporeal shock wave therapy; involving plantar fascia
00210,"anesth, open head surgery",anesthesia for intracranial procedures; not otherwise specified
00211,"anesth, cran surg, hematoma",anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma
00212,"anesth, skull drainage",anesthesia for intracranial procedures; subdural taps
00214,"anesth, skull drainage","anesthesia for intracranial procedures; burr holes, including ventriculography"
00215,"anesth, skull repair/fract","anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture, extradural (simple or compound)"
00216,"anesth, head vessel surgery",anesthesia for intracranial procedures; vascular procedures
00218,"anesth, special head surgery",anesthesia for intracranial procedures; procedures in sitting position
0021T,"fetal oximetry, trnsvag/cerv",insertion of transcervical or transvaginal fetal oximetry sensor
00220,"anesth, intrcrn nerve",anesthesia for intracranial procedures; cerebrospinal fluid shunting procedures
00222,"anesth, head nerve surgery",anesthesia for intracranial procedures; electrocoagulation of intracranial nerve
0023T,infct agent drg test phentyp hiv 1,"infectious agent drug susceptibility phenotype prediction using genotypic comparison to known genotypic/phenotypic database, hiv 1"
0024T,transcath cardiac reduction,"non-surgical septal reduction therapy (eg, alcohol ablation), for hypertrophic obstructive cardiomyopathy, with coronary arteriograms, with or without temporary pacemaker"
0025T,determine corneal thickness w/i&r,"determination of corneal thickness (eg, pachymetry) with interpretation and report, bilateral"
0026T,measure remnant lipoproteins,"lipoprotein, direct measurement, intermediate density lipoproteins (idl) (remnant lipoproteins)"
0027T,endoscopic epidural lysis,"endoscopic lysis of epidural adhesions with direct visualization using mechanical means (eg, spinal endoscopic catheter system) or solution injection (eg, normal saline) including radiologic localization and epidurography"
0028T,dexa body composition study,"dual energy x-ray absorptiometry (dexa) body composition study, one or more sites"
0029T,magnetic tx for incontinence,"treatment(s) for incontinence, pulsed magnetic neuromodulation, per day"
00300,"anesth, head/neck/ptrunk","anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified"
0030T,antiprothrombin antibody,"antiprothrombin (phospholipid cofactor) antibody, each ig class"
0031T,speculoscopy,speculoscopy;
00320,"anesth, neck organ, 1 & over","anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified, age 1 year or older"
00322,"anesth, biopsy of thyroid","anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid"
00326,"anesth, larynx/trach, < 1 yr",anesthesia for all procedures on the larynx and trachea in children younger than 1 year of age
0032T,speculoscopy w/direct sample,speculoscopy; with directed sampling
0033T,endovasc taa repr w/lt subcl,"endovascular repair of descending thoracic aortic aneurysm, pseudoaneurysm or dissection; involving coverage of left subclavian artery origin, initial endoprosthesis"
0034T,endovasc taa repr w/o lt subcl,"endovascular repair of descending thoracic aortic aneurysm, psuedoaneurysm or dissection; not involving coverage of left subclavian artery origin, initial endoprosthesis"
00350,"anesth, neck vessel surgery",anesthesia for procedures on major vessels of neck; not otherwise specified
00352,"anesth, neck vessel surgery",anesthesia for procedures on major vessels of neck; simple ligation
0035T,"place prox/dist ext prosth, initial","placement of proximal or distal extension prosthesis for endovascular repair of descending thoracic aortic aneurysm, pseudoaneurysm or dissection; initial extension"
0036T,"place prox/dist ext prosth, ea add","placement of proximal or distal extension prosthesis for endovascular repair of descending thoracic aortic aneurysm, pseudoaneurysm or dissection; each additional extension (list separately in addition to code for primary procedure)"
0037T,"subclav-carotid artery trans, open","open subclavian to carotid artery transposition performed in conjunction with endovascular thoracic aneurysm repair, by neck incision, unilateral"
0038T,rad s/i endovasc taa rpr w/cover,"endovascular repair of descending thoracic aortic aneurysm, pseudoaneurysm or dissection involving coverage of left subclavian artery origin, initial endoprosthesis, radiological supervision and interpretation"
0039T,rad s/i endovasc taa rpr w/o cover,"endovascular repair of descending thoracic aortic aneurysm, pseudoaneurysm or dissection not involving coverage of left subclavian artery origin, initial endoprosthesis, radiological supervision and interpretation"
00400,"anesth, skin, ext/per/atrunk","anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified"
00402,"anesth, surgery of breast","anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)"
00404,"anesth, surgery of breast","anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast"
00406,"anesth, surgery of breast","anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast with internal mammary node dissection"
0040T,"rad supv/int, place extn prosth, ea","placement of proximal or distal extension prosthesis for endovascular repair of descending thoracic aortic aneurysm, pseudoaneurysm or dissection, each extension, radiological supervision and interpretation"
00410,"anesth, correct heart rhythm","anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; electrical conversion of arrhythmias"
0041T,detect ur infect agnt w/cpas,"urinalysis infectious agent detection, semi-quantitative analysis of volatile compounds"
00420,anesthesia for back skin surgery,"anesthesia for procedures on posterior integumentary system of chest, including subcutaneous tissue (units: 5)"
0042T,"ct perfusion w/contrast, cbf","cerebral perfusion analysis using computed tomography with contrast administration, including post-processing of parametric maps with determination of cerebral blood flow, cerebral blood volume, and mean transit time"
0043T,co expired gas analysis,"carbon monoxide, expired gas analysis (eg, etcoc/hemolysis breath test)"
0044T,whole body photography,"whole body integumentary photography, at request of a physician, for monitoring of high-risk patients; with dysplastic nevus syndrome or familial melanoma"
00450,"anesth, surgery of shoulder",anesthesia for procedures on clavicle and scapula; not otherwise specified
00452,"anesth, surgery of shoulder",anesthesia for procedures on clavicle and scapula; radical surgery
00454,"anesth, collar bone biopsy",anesthesia for procedures on clavicle and scapula; biopsy of clavicle
0045T,whole body photography,"whole body integumentary photography, at request of a physician, for monitoring of high-risk patients; with history of dysplastic nevi or personal history of melanoma"
0046T,"cath lavage, mammary duct(s","catheter lavage of a mammary duct(s) for collection of cytology specimen(s), in high risk individuals (gail risk scoring or prior personal history of breast cancer), each breast; single duct"
00470,"anesth, removal of rib",anesthesia for partial rib resection; not otherwise specified
00472,"anesth, chest wall repair",anesthesia for partial rib resection; thoracoplasty (any type)
00474,"anesth, surgery of rib(s)","anesthesia for partial rib resection; radical procedures (eg, pectus excavatum)"
0047T,"cath lavage, mammary duct(s)","catheter lavage of a mammary duct(s) for collection of cytology specimen(s), in high risk individuals (gail risk scoring or prior personal history of breast cancer), each breast; each additional duct"
0048T,implant ventricular device,"implantation of a ventricular assist device, extracorporeal, percutaneous transseptal access, single or dual cannulation"
0049T,external circulation assist,"prolonged extracorporeal percutaneous transseptal ventricular assist device, greater than 24 hours, each subsequent 24 hour period (list separately in addition to code for primary procedure)"
00500,"anesth, esophageal surgery",anesthesia for all procedures on esophagus
0050T,removal circulation assist,"removal of a ventricular assist device, extracorporeal, percutaneous transseptal access, single or dual cannulation"
0051T,implant total heart system,implantation of a total replacement heart system (artificial heart) with recipient cardiectomy
00520,"anesth, chest procedure",anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified
00522,"anesth, chest lining biopsy",anesthesia for closed chest procedures; needle biopsy of pleura
00524,"anesth, chest drainage",anesthesia for closed chest procedures; pneumocentesis
00528,"anesth, chest partition view",anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing one lung ventilation
00529,"anesth, chest partition view",anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing one lung ventilation
0052T,replace component heart syst,replacement or repair of thoracic unit of a total replacement heart system (artificial heart)
00530,"anesth, pacemaker insertion",anesthesia for permanent transvenous pacemaker insertion
00532,"anesth, vascular access",anesthesia for access to central venous circulation
00534,"anesth, cardioverter/defib",anesthesia for transvenous insertion or replacement of pacing cardioverter-defibrillator
00537,"anesth, cardiac electrophys",anesthesia for cardiac electrophysiologic procedures including radiofrequency ablation
00539,"anesth, trach-bronch reconst",anesthesia for tracheobronchial reconstruction
0053T,replace component heart syst,"replacement or repair of implantable component or components of total replacement heart system (artificial heart), excluding thoracic unit"
00540,"anesth, chest surgery","anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); not otherwise specified"
00541,"anesth, one lung ventilation","anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); utilizing one lung ventilation"
00542,"anesth, release of lung","anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); decortication"
00544,anesthesia for chest lining removal,"anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); pleurectomy (units: 15)"
00546,"anesth, lung,chest wall surg","anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); pulmonary resection with thoracoplasty"
00548,"anesth, trachea,bronchi surg","anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); intrathoracic procedures on the trachea and bronchi"
0054T,bone surgery using computer,"computer-assisted musculoskeletal surgical navigational orthopedic procedure, with image-guidance based on fluoroscopic images (list separately in addition to code for primary procedure)"
00550,"anesth, sternal debridement",anesthesia for sternal debridement
0055T,bone surgery using computer,"computer-assisted musculoskeletal surgical navigational orthopedic procedure, with image-guidance based on ct/mri images (list separately in addition to code for primary procedure)"
00560,"anesth, heart surg w/o pump","anesthesia for procedures on heart, pericardial sac, and great vessels of chest; without pump oxygenator"
00561,"anesth, heart surg < age 1","anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, younger than 1 year of age"
00562,"anesth, heart surg w/pump","anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, age 1 year or older, for all non-coronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month after original operation"
00563,"anesth, heart surg w/arrest","anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator with hypothermic circulatory arrest"
00566,"anesth, cabg w/o pump",anesthesia for direct coronary artery bypass grafting; without pump oxygenator
00567,"anesth, cabg w/pump",anesthesia for direct coronary artery bypass grafting; with pump oxygenator
0056T,bone surgery using computer,"computer-assisted musculoskeletal surgical navigational orthopedic procedure, image-less (list separately in addition to code for primary procedure)"
0057T,up gi endoscp w/thermal energy tx,"upper gastrointestinal endoscopy, including esophagus, stomach, and either the duodenum and/or jejunum as appropriate, with delivery of thermal energy to the muscle of the lower esophageal sphincter and/or gastric cardia, for treatment of gastroesophageal reflux disease"
00580,"anesth, heart/lung transplnt",anesthesia for heart transplant or heart/lung transplant
0058T,"cryopreservation, ovary tiss","cryopreservation; reproductive tissue, ovarian"
0059T,"cryopreservation, oocyte",cryopreservation; oocyte(s)
00600,"anesth, spine, cord surgery",anesthesia for procedures on cervical spine and cord; not otherwise specified
00604,"anesth, sitting procedure",anesthesia for procedures on cervical spine and cord; procedures with patient in the sitting position
0060T,electrical impedance scan,"electrical impedance scan of the breast, bilateral (risk assessment device for breast cancer)"
0061T,"destruction of tumor, breast","destruction/reduction of malignant breast tumor including breast carcinoma cells in the margins, microwave phased array thermotherapy, disposable catheter with combined temperature monitoring probe and microwave sensor, externally applied microwave energy, including interstitial placement of sensor"
00620,"anesth, spine, cord surgery",anesthesia for procedures on thoracic spine and cord; not otherwise specified
00622,"anesth, removal of nerves",anesthesia for procedures on thoracic spine and cord; thoracolumbar sympathectomy
